datetime,hr,rri
2019-04-02 20:04:07.768,90, 644
2019-04-02 20:04:08.759,90, 671
2019-04-02 20:04:10.244,90, 687
2019-04-02 20:04:11.237,89, 721
2019-04-02 20:04:12.224,89, 724
2019-04-02 20:04:13.214,87, 702
2019-04-02 20:04:14.204,87, 737
2019-04-02 20:04:15.197,86, 743
2019-04-02 20:04:16.183,85, 744
2019-04-02 20:04:17.183,84, 755
2019-04-02 20:04:18.187,84, 711
2019-04-02 20:04:19.158,84, 645
2019-04-02 20:04:20.638,86, 659
2019-04-02 20:04:21.137,87, 646
2019-04-02 20:04:22.130,90, 576
2019-04-02 20:04:23.114,99, 546
2019-04-02 20:04:24.108,101, 537
2019-04-02 20:04:25.108,105, 541
2019-04-02 20:04:26.091,107, 547
2019-04-02 20:04:27.074,106, 581
2019-04-02 20:04:28.072,106, 549
2019-04-02 20:04:29.053,107, 530
2019-04-02 20:04:30.051,109, 531
2019-04-02 20:04:31.036,110, 528
2019-04-02 20:04:32.034,111, 537
2019-04-02 20:04:33.017,111, 550
2019-04-02 20:04:34.009,110, 544
2019-04-02 20:04:34.993,110, 547
2019-04-02 20:04:35.982,110, 546
2019-04-02 20:04:36.975,110, 553
2019-04-02 20:04:37.967,109, 607
2019-04-02 20:04:38.956,105, 638
2019-04-02 20:04:39.943,103, 648
2019-04-02 20:04:41.426,99, 631
2019-04-02 20:04:41.923,98, 627
2019-04-02 20:04:42.913,97, 630
2019-04-02 20:04:43.902,97, 652
2019-04-02 20:04:44.904,95, 674
2019-04-02 20:04:45.883,94, 716
2019-04-02 20:04:46.872,91, 699
2019-04-02 20:04:47.863,90, 701
2019-04-02 20:04:48.862,89, 695
2019-04-02 20:04:49.845,89, 666
2019-04-02 20:04:50.841,89, 679
2019-04-02 20:04:51.823,89, 666
2019-04-02 20:04:53.311,89, 630
2019-04-02 20:04:54.302,92, 597
2019-04-02 20:04:54.797,93, 589
2019-04-02 20:04:55.786,96, 590
2019-04-02 20:04:56.778,97, 621
2019-04-02 20:04:57.764,97, 638
2019-04-02 20:04:58.757,96, 626
